name,date,lang,dur,genre,direc,act,c_rate,u_rate,desc,poster
3 Storeys,"09 Mar, 2018",['Hindi'],1 hr 40 mins, Drama Thriller,Arjun Mukerjee,"['Richa Chadha', 'Sharman Joshi', 'Pulkit Samrat']",3.5,3.3,3 Storeys cleverly demonstrates the art of skillfully telling a story wherein all the loose ends of a plot are tied together into a neat whole.,"https://static.toiimg.com/thumb/msid-61977994,width-219,height-317,imgsize-77920/61977994.jpg"
Hamne Gandhi Ko Maar Diya,"23 Feb, 2018",['Hindi'],1 hr 47 mins,Drama,"Naeem A. Siddiqui, Producer","['Jatin Goswami', 'Subrat Dutta', 'Samiksha Bhatnagar']",1.5,2.2,This social drama holds very little relevance in today's time when peaceful coexistence has become a thing of the past.,"https://static.toiimg.com/thumb/msid-62818161,width-219,height-317,imgsize-18169/62818161.jpg"
Veerey Ki Wedding,"02 Mar, 2018",['Hindi'],2 hrs 1 mins, Comedy Romance,Ashu Trikha,"['Jimmy Sheirgill', 'Pulkit Samrat', 'Kriti Kharbanda']",2,2.3,"'Veerey Ki Wedding' is a comedy of errors that deserves to be skipped as the makers have erred every step of the way. Or, watch it at your own risk.","https://static.toiimg.com/thumb/msid-62381174,width-219,height-317,imgsize-29051/62381174.jpg"
Pari,"02 Mar, 2018",['Hindi'],2 hrs 17 mins, Horror Thriller,Prosit Roy,"['Anushka Sharma', 'Parambrata Chatterjee', 'Rajat Kapoor']",3.5,3.4,"Anushka’s strongest work as an actor-producer so far, Pari has the ability to redefine the genre as it’s refreshingly different, atmospheric and moody.","https://static.toiimg.com/thumb/msid-61933847,width-219,height-317,imgsize-13074/61933847.jpg"
Welcome To New York,"23 Feb, 2018",['Hindi'],1 hr 57 mins,Comedy,Chakri Toleti,"['Diljit Dosanjh', 'Sonakshi Sinha', 'Riteish Deshmukh']",2.5,2.6,"The film must have sounded clever on paper as it doesn’t take itself too seriously and attempts to recreate the irreverent tonality, characteristic of the banter at award shows. However, it doesn’t always manage to hit the bull’s eye.","https://static.toiimg.com/thumb/msid-62564932,width-219,height-317,imgsize-104673/62564932.jpg"
Sonu Ke Titu Ki Sweety,"23 Feb, 2018",['Hindi'],2 hrs 20 mins, Comedy Romance,Luv Ranjan,"['Kartik Aaryan', 'Nushrat Bharucha', 'Sunny Singh']",3.5,3.5,"Despite its misogynistic nature, Ranjan’s lighthearted approach to counter gender stereotypes in modern relationships makes his take fascinating.","https://static.toiimg.com/thumb/msid-61933855,width-219,height-317,imgsize-101784/61933855.jpg"
Jaane Kyun De Yaaron,"16 Feb, 2018",['Hindi'],2 hrs 11 mins,Drama,"Akshay Anand, Actor","['Kabir Bedi', 'Chetna Pande', 'Viju Khote']",1.5,2.1,"A dreary, snail-paced ‘comedy’ film with a message that doesn’t deliver laughs nor does it manage to give any coherent message.","https://static.toiimg.com/thumb/msid-62538120,width-219,height-317,imgsize-187621/62538120.jpg"
Aiyaary,"16 Feb, 2018",['Hindi'],2 hrs 40 mins, Drama Action,Neeraj Pandey,"['Manoj Bajpayee', 'Sidharth Malhotra', 'Pooja Chopra']",3.5,3.3,"‘Aiyaary’ has an intriguing storyline delivered with measured performances that make it a worthwhile watch, but those expecting the clever Neeraj Pandey twists will probably be left wanting more.","https://static.toiimg.com/thumb/msid-61933839,width-219,height-317,imgsize-106889/61933839.jpg"
Kuchh Bheege Alfaaz,"16 Feb, 2018",['Hindi'],1 hr 56 mins, Drama Romance,Onir,"['Zain Khan Durrani', 'Geetanjali Thapa', 'Mona Ambegaonkar']",3.5,3.3,,"https://static.toiimg.com/thumb/msid-62615810,width-219,height-317,imgsize-82402/62615810.jpg"
Padman,"09 Feb, 2018",['Hindi'],2 hrs 20 mins, Drama Biography,R. Balki,"['Akshay Kumar', 'Sonam Kapoor', 'Radhika Apte']",3.5,3.5,,"https://static.toiimg.com/thumb/msid-61933789,width-219,height-317,imgsize-108815/61933789.jpg"
Kuldip Patwal: I Didn't Do It!,"02 Feb, 2018",['Hindi'],2 hrs 8 mins, Crime Drama Mystery,Remy Kohli,"['Deepak Dobriyal', 'Raima Sen', 'Parvin Dabas']",2,2.4,"It is a story that tries to take on the system by bringing to light its wrongdoings, but drowns in its own mediocrity instead.","https://static.toiimg.com/thumb/msid-62206528,width-219,height-317,imgsize-23747/62206528.jpg"
Padmaavat,"25 Jan, 2018","['Hindi', 'Tamil', 'Telugu']",2 hrs 43 mins, Drama Romance History,"Sanjay Leela Bhansali, Producer","['Ranveer Singh', 'Deepika Padukone', 'Shahid Kapoor']",4,4.3,"‘Padmaavat’ is an entertaining, large canvas experience, brought to life by strong performances combined with Sanjay Leela Bhansali’s stroke of visual brilliance.","https://static.toiimg.com/thumb/msid-61979171,width-219,height-317,imgsize-92799/61979171.jpg"
Union Leader,"19 Jan, 2018",['Hindi'],1 hr 45 mins,Drama,Sanjay Patel,"['Rahul Bhat', 'Tillotama Shome', 'Prashant Barot']",2.5,2.8,"While the plot has a very humane touch to it and the characters reek of realism, the end would have made perfect sense had we all been living in a perfect world.","https://static.toiimg.com/thumb/msid-61961938,width-219,height-317,imgsize-48008/61961938.jpg"
Nirdosh,"19 Jan, 2018",['Hindi'],1 hr 50 mins, Drama Mystery,"Pradeep Rangwani, Producer","['Arbaaz Khan', 'Ashmit Patel', 'Manjari Phadnis']",1.5,2.1,"Despite the loopholes and some terrible acting, the first half of 'Nirdosh' is lot crispier than the stretched-beyond-imagination second half.","https://static.toiimg.com/thumb/msid-62019983,width-219,height-317,imgsize-20715/62019983.jpg"
Medal,"19 Jan, 2018",['Hindi'],1 hr 36 mins, Drama Sport,Ganesh Kumar Mehta,"['Muzahid Khan', 'Ajay Sharma', 'Indrisha Basu']",1,1.7,,"https://static.toiimg.com/thumb/msid-61981097,width-219,height-317,imgsize-101406/61981097.jpg"
My Birthday Song,"19 Jan, 2018","['English', 'Hindi']",1 hr 35 mins,Thriller,Samir Soni,"['Sanjay Suri', 'Purab Kohli', 'Nora Fatehi']",2.5,2.7,,"https://static.toiimg.com/thumb/msid-62025384,width-219,height-317,imgsize-11885/62025384.jpg"
Vodka Diaries,"19 Jan, 2018",['Hindi'],1 hr 58 mins, Thriller Mystery Drama,Kushal Srivastava,"['Kay Kay Menon', 'Raima Sen', 'Mandira Bedi']",2.5,2.8,"While the mystery should be intriguing in a suspense thriller, what remains a mystery is the lack of anything intriguing","https://static.toiimg.com/thumb/msid-61979364,width-219,height-317,imgsize-148647/61979364.jpg"
1921,"12 Jan, 2018",['Hindi'],2 hrs 24 mins, Horror Thriller,"Vikram Bhatt, Producer","['zarine khan', 'Karan Kundra', 'Mark Williams']",2,2.4,,"https://static.toiimg.com/thumb/msid-61933512,width-219,height-317,imgsize-26104/61933512.jpg"
Kaalakaandi,"12 Jan, 2018",['Hindi'],1 hr 52 mins, Thriller Comedy,Akshat Verma,"['Saif Ali Khan', 'Amyra Dastur', 'Kunal Kapoor']",2,2.3,"Kaalakaandi is a Hindi movie released on 12 Jan, 2018. The movie is directed by Akshat Verma and  featured Saif Ali Khan,  Amyra Dastur,  Kunal Kapoor and  Vijay Raaz as lead characters. Other popular actors who were roped in for Kaalakaandi are  Shenaz Treasury,  Isha Talwar,  Akshay Oberoi and  Deepak Dobriyal","https://static.toiimg.com/thumb/msid-61961800,width-219,height-317,imgsize-54851/61961800.jpg"
Mukkabaaz,"12 Jan, 2018",['Hindi'],2 hrs 25 mins, Drama Sport,Anurag Kashyap,"['Vineet Kumar Singh', 'Jimmy Sheirgill', 'Zoya Hussain']",4,3.8,"Politics of caste, sports and workplace, Mukkabaaz launches a scathing attack on the system and hypocrisies of our society with a blend of love & humour.","https://static.toiimg.com/thumb/msid-62454233,width-219,height-317,imgsize-71013/62454233.jpg"
Haseena,"05 Jan, 2018",['Hindi'],1 hr 52 mins,Drama,Vicky Ranawat,"['Innayat Sharma', 'Ankur Verma', 'Mohit Arora']",1.5,2.1,"Haseena is a Hindi movie released on 01 September, 2017. The movie is directed by Vicky Ranawat  and featured Innayat Sharma and Mohit Kumar as lead characters.","https://static.toiimg.com/thumb/msid-61348488,width-219,height-317,imgsize-102511/61348488.jpg"
Panchlait,"17 Nov, 2017",['Hindi'],2 hrs 0 mins, Drama,Prem Prakash Modi,"['Yashpal Sharma', 'Rajesh Sharma', 'Brijendra Kala']",2,2.4,"‘Panchlait’ has its cinematography, acting and even costumes in place (given the era and rural setting) but the script is its own enemy.","https://static.toiimg.com/thumb/msid-61683551,width-219,height-317,imgsize-52780/61683551.jpg"
Game Of Ayodhya,"15 Dec, 2017",['Hindi'],2 hrs 0 mins, Drama Romance Thriller,"Sunil Singh, Actor","['Makarand Deshpande', 'Arun Bakshi', 'Ehsaan Khan']",2,2.4,"The film sums up with a message that is relevant to today’s time. But, a lot more effort was required in the area of acting, cinematography, direction and screenplay to make this one watchable.","https://static.toiimg.com/thumb/msid-61932003,width-219,height-317,imgsize-151714/61932003.jpg"
Udanchhoo,"05 Jan, 2018",['Hindi'],2 hrs 3 mins, Comedy Drama,Vipin Parashar,"['Prem Chopra', 'Bruna Abdullah', 'Ashutosh Rana']",1.5,2.1,,"https://static.toiimg.com/thumb/msid-61970776,width-219,height-317,imgsize-108135/61970776.jpg"
Modi Kaka Ka Gaon,"29 Dec, 2017",['Hindi'],2 hrs 2 mins,Drama,Tushar Amrish Goel,"['Rohit Raj', 'Vikas Mahante', 'Chandramani']",1,1.6,,"https://static.toiimg.com/thumb/msid-61979325,width-219,height-317,imgsize-22060/61979325.jpg"
Tiger Zinda Hai,"22 Dec, 2017",['Hindi'],2 hrs 41 mins, Action Thriller,Ali Abbas Zafar,"['Salman Khan', 'Katrina Kaif', 'Angad Bedi']",3.5,3.5,"A lot of sequences defy logic, but at the same time, there are many moments that will leave Salman Khan and action film fans impressed.","https://static.toiimg.com/thumb/msid-61932931,width-219,height-317,imgsize-80401/61932931.jpg"
Journey Of Bhangover,"15 Dec, 2017",['Hindi'],1 hr 52 mins, Drama Comedy Thriller,Mahinder Singh Saniwal,"['Prerika Arora', 'Aradhya Taing', 'Yashpal Sharma']",1.5,1.9,,"https://static.toiimg.com/thumb/msid-61792150,width-219,height-317,imgsize-127292/61792150.jpg"
My Friend’s Dulhania,"15 Dec, 2017",['Hindi'],1 hr 28 mins, Romance Drama,Prashamit Chaudhury,"['Mudasir Zafar', 'Mayur Mehta', 'Shaina Baweja']",1,1.6,,"https://static.toiimg.com/thumb/msid-61932597,width-219,height-317,imgsize-168741/61932597.jpg"
Monsoon Shootout,"15 Dec, 2017",['Hindi'],1 hr 32 mins, Drama Thriller Crime,Amit Kumar,"['Nawazuddin Siddiqui', 'Neeraj Kabi', 'tannishtha chatterjee']",3,3.1,"Perhaps, this film makes for a one-time watch, if you are in the mood to indulge in a narrative that’s not run-of-the-mill.","https://static.toiimg.com/thumb/msid-61932486,width-219,height-317,imgsize-142789/61932486.jpg"
Game Over,"03 Nov, 2017",['Hindi'],2 hrs 20 mins, Drama Thriller Suspense,Paresh Vinodray Savani,"['Rajesh Sharma', 'Yashpal Sharma', 'Gurleen Chopra']",1.5,2,This con-artist flick is a sum total of all other con-meets-scam movies that we have already seen; only that this one is dripped in mediocrity.,"https://static.toiimg.com/thumb/msid-61487176,width-219,height-317,imgsize-25887/61487176.jpg"
Sallu Ki Shaadi,"08 Dec, 2017",['Hindi'],1 hr 50 mins, Action Comedy Drama Family,Mohammad Israr Ansari,"['Zeenat Aman', 'Kiran Kumar', 'Asrani']",1.5,1.9,,"https://static.toiimg.com/thumb/msid-61931707,width-219,height-317,imgsize-33052/61931707.jpg"
Fukrey Returns,"08 Dec, 2017",['Hindi'],2 hrs 15 mins, Comedy Thriller,Mrighdeep Singh Lamba,"['Pulkit Samrat', 'Varun Sharma', 'Manjot Singh']",3.5,3.4,,"https://static.toiimg.com/thumb/msid-61931389,width-219,height-317,imgsize-147309/61931389.jpg"
Viraam,"01 Dec, 2017",['Hindi'],1 hr 50 mins,Drama,Ziaullah Khan,,1.5,1.9,"With insipid performances, a very slow pace and a plot that you can smell miles away, 'Viraam' could have been better if it avoided the clichéd treatment that is often given to Hindi films.","https://static.toiimg.com/thumb/msid-61792397,width-219,height-317,imgsize-68680/61792397.jpg"
Tera Intezaar,"01 Dec, 2017",['Hindi'],2 hrs 18 mins, Romance Thriller,Raajeev Walia,"['Arbaaz Khan', 'Sunny Leone', 'Aarya Babbar']",1.5,1.8,"With weak performances, forced VFX and a badly structured script, 'Tera Intezaar' is a film where you will be waiting desperately for the end credits to roll.","https://static.toiimg.com/thumb/msid-61822452,width-219,height-317,imgsize-144549/61822452.jpg"
Firangi,"01 Dec, 2017",['Hindi'],2 hrs 40 mins, Comedy Drama,Rajiv Dhingra,"['Kapil Sharma', 'Ishita Dutta', 'Monica Gill']",2,1.8,"The family film isn't really tacky or repulsive, it's outright boring and that's probably worse because it's not even unintentionally entertaining.","https://static.toiimg.com/thumb/msid-61822619,width-219,height-317,imgsize-127427/61822619.jpg"
The Window,"10 Nov, 2017","['Hindi', 'English']",2 hrs 1 mins, Drama Romance Mystery,VK Choudhary,,2.5,2.5,The recurring theme in ‘The Window’ is a wholehearted writer’s plight in this unforgiving industry and the myth that pathos alone can bring out the artistic genius in a storyteller.,"https://static.toiimg.com/thumb/msid-61532344,width-219,height-317,imgsize-25148/61532344.jpg"
Julie 2,"24 Nov, 2017",[],Drama,,Raai LaxmiActor,,2,2,"Director must have wanted to make a film that tells the fictional tale of the rise of a female star in cinema, but midway he seems to have changed his mind and turned it into an erotic thriller.","https://static.toiimg.com/thumb/msid-61780783,width-219,height-317,imgsize-62744/61780783.jpg"
Ajji,"24 Nov, 2017",['Hindi'],1 hr 43 mins,Drama,Devashish Makhija,"['Sudhir Pandey', 'Kiran Khoje', 'Smita Tambe']",4,3.6,,"https://static.toiimg.com/thumb/msid-61792104,width-219,height-317,imgsize-26946/61792104.jpg"
Kadvi Hawa,"24 Nov, 2017",['Hindi'],1 hr 35 mins,Drama,Nila Madhab Panda,"['Sanjay Mishra', 'Ranvir Shorey', 'Tillotama Shome']",3,3.3,,"https://static.toiimg.com/thumb/msid-61791976,width-219,height-317,imgsize-202537/61791976.jpg"
Shaadi Abhi Baaki Hai," 2 hrs 0 mins
	    
	",['Romantic Comedy'],,,"Mansi Dovhal, Actor",,1.5,2,,"https://static.toiimg.com/thumb/msid-61691561,width-219,height-317,imgsize-75733/61691561.jpg"
Muzaffarnagar-The Burning Love," 2 hrs 14 mins
	    
	",['Action'],,,Harish Kumar,"['Aishwarya Devan', 'Dev Sharma', 'Anil George']",1.5,2,,"https://static.toiimg.com/thumb/msid-61691377,width-219,height-317,imgsize-47489/61691377.jpg"
An Insignificant Man," 1 hr 36 mins
	    
	",['Documentary'],,,Khushboo Ranka,,4,3.8,The documentary follows Arvind Kejriwal and his newly formed political party as they start campaigning for the Delhi Legislative Assembly election and the struggles the party faces as it takes on Goliaths in the political arena.,"https://static.toiimg.com/thumb/msid-61688120,width-219,height-317,imgsize-44518/61688120.jpg"
Aksar 2,"17 Nov, 2017",[],Thriller,,Ananth Narayan Mahadevan,"['Zareen Khan', 'Gautam Rode', 'Mohit Madaan']",2.5,2.4,"Aksar 2 is a movie that begins well, but quickly crumbles to a point of no return. The climax is predictable and the narrative towards the end slackens with the inclusion of a song.","https://static.toiimg.com/thumb/msid-61687273,width-219,height-317,imgsize-76432/61687273.jpg"
Tumhari Sulu,"17 Nov, 2017",['Hindi'],2 hrs 3 mins, Comedy Drama,Suresh Triveni,"['Vidya Balan', 'Neha Dhupia', 'Manav Kaul']",3,3.3,,"https://static.toiimg.com/thumb/msid-61683266,width-219,height-317,imgsize-29785/61683266.jpg"
Kutumb The Family,"26 May, 2017",['Hindi'],1 hr 52 mins,Drama,Amit Shree Yadav,,1.5,2.1,"Kutumb The Family is a Hindi movie released on 26 May, 2017. The movie is directed by Amit Shree Yadav  and featured Rajpal Yadav and Alok Nath as lead characters.","https://static.toiimg.com/thumb/msid-61304859,width-219,height-317,imgsize-167186/61304859.jpg"
The House Next Door,"10 Nov, 2017",['Hindi'],2 hrs 20 mins, Horror Thriller,U. Milind Rau,"['Siddharth', 'Andrea Jeremiah', 'Atul Kulkarni']",3.5,3.4,"The House Next Door is a Hindi movie released on 10 Nov, 2017. The movie is directed by U. Milind Rau and  featured Siddharth, Andrea Jeremiah and Atul Kulkarni as lead characters.Other popular actors who were roped in for The House Next Door is ","https://static.toiimg.com/thumb/msid-61487267,width-219,height-317,imgsize-57831/61487267.jpg"
Qarib Qarib Singlle,"10 Nov, 2017",['Hindi'],2 hrs 5 mins, Comedy Romance,Tanuja Chandra,"['Irrfan Khan', 'Parvathy', 'Brijendra Kala']",3.5,3.5,"As long as you don’t expect fireworks, Parvathy and Irrfan make this an enjoyably sweet film that will leave you smiling.","https://static.toiimg.com/thumb/msid-61532005,width-219,height-317,imgsize-171587/61532005.jpg"
Shaadi Mein Zaroor Aana,"10 Nov, 2017",['Hindi'],1 hr 52 mins, Comedy Drama Romance,Ratna Sinha,,3,3.4,"Shaadi Mein Zaroor Aana is a Hindi movie released on 10 Nov, 2017. The movie is directed by Ratna Sinha and  featured Rajkummar Rao and Kriti Kharbanda as lead characters.Other popular actors who were roped in for Shaadi Mein Zaroor Aana is ","https://static.toiimg.com/thumb/msid-61532196,width-219,height-317,imgsize-175922/61532196.jpg"
Narayan,"03 Nov, 2017",[],Action,,KarishmaActor,,2.5,2.5,"A potpourri of Salman Khan’s Sultan and Farhan Akhtar’s Bhaag Milkha Bhaag, with a bit of Brad Pitt’s Fight Club thrown in, Narayan is a repetitive script.","https://static.toiimg.com/thumb/msid-61529817,width-219,height-317,imgsize-77197/61529817.jpg"
Ram Ratan,"03 Nov, 2017",['Hindi'],2 hrs 4 mins, Comedy Romance,Govind Sakariya,"['Daisy Shah', 'Rajpal Yadav', 'Mahesh Thakur']",2,2.4,"Ram Ratan is a Hindi movie released on 3 Nov, 2017. The movie is directed by Govind Sakariya and  featured Daisy Shah,  Rajpal Yadav,  Mahesh Thakur and  Sudha Chandran as lead characters.Other popular actors who were roped in for Ram Ratan is and  Satish Kaushik","https://static.toiimg.com/thumb/msid-61486704,width-219,height-317,imgsize-173435/61486704.jpg"
Ittefaq,"03 Nov, 2017",['Hindi'],2 hrs 32 mins, Action Comedy Thriller,Harish Shankar,"['Pooja Hegde', 'Allu Arjun', 'Posani Krishna Murali']",3.5,3.4,,"https://static.toiimg.com/thumb/msid-61487328,width-219,height-317,imgsize-147640/61487328.jpg"
Ribbon,"03 Nov, 2017",['Hindi'],1 hr 46 mins, Comedy Drama,Rakhee Sandilya,"['Sumeet Vyas', 'Kalki Koechlin', 'Veena Nair']",3,3,,"https://static.toiimg.com/thumb/msid-61486793,width-219,height-317,imgsize-45180/61486793.jpg"
Jia Aur Jia,"27 Oct, 2017","['Hindi', 'English']",1 hr 33 mins, Comedy Drama,Howard Rosemeyer,,1.5,1.9,,"https://static.toiimg.com/thumb/msid-61369211,width-219,height-317,imgsize-110690/61369211.jpg"
Rukh,"27 Oct, 2017",['Hindi'],1 hr 46 mins, Drama Thriller Mystery,Atanu Mukherjee,"['Manoj Bajpayee', 'Smita Tambe', 'Kumud Mishra']",3.5,3.3,"Rukh is a Hindi movie released on 27 October, 2017. The movie is directed by Atanu Mukherjee  and featured Manoj Bajpayee, Smita Tambe and Kumud Mishra as lead characters.","https://static.toiimg.com/thumb/msid-61369545,width-219,height-317,imgsize-53467/61369545.jpg"
Golmaal Again,"20 Oct, 2017",['Hindi'],2 hrs 31 mins,Comedy,Rohit Shetty,"['Ajay Devgn', 'Parineeti Chopra', 'Arshad Warsi']",3.5,3.5,,"https://static.toiimg.com/thumb/msid-61358916,width-219,height-317,imgsize-194982/61358916.jpg"
Secret Superstar,"19 Oct, 2017",['Hindi'],2 hrs 30 mins, Drama Musical,Advait Chandan,"['Aamir Khan', 'Zaira Wasim', 'Meher Vij']",4,4.3,Young Zaira aspires to be a singer but faces several restrictions from her conservative father until she meets a musician who can make her dreams come true.,"https://static.toiimg.com/thumb/msid-61362955,width-219,height-317,imgsize-131619/61362955.jpg"
Ranchi Diaries,"13 Oct, 2017",['Hindi'],1 hr 37 mins, Comedy Thriller Crime,Sattwik Mohanty,"['Anupam Kher', 'Jimmy Sheirgill', 'Himansh Kohli']",2,2.2,,"https://static.toiimg.com/thumb/msid-61368458,width-219,height-317,imgsize-132567/61368458.jpg"
Muavza: Zameen Ka Paisa,"06 Oct, 2017",['Hindi'],1 hr 51 mins, Comedy Drama,Girish Juneja,"['Annu Kapoor', 'Akhilendra Mishra', 'Pankaj Berry']",2,2.3,,"https://static.toiimg.com/thumb/msid-61369647,width-219,height-317,imgsize-99873/61369647.jpg"
2016 The End,"06 Oct, 2017",['Hindi'],2 hrs 15 mins, Comedy Drama Thriller,Jaideep Chopra,"['Divyendu Sharma', 'Rahul Roy', 'Supriya Karnik']",2.5,2.5,,"https://static.toiimg.com/thumb/msid-61358294,width-219,height-317,imgsize-141466/61358294.jpg"
Chef,"06 Oct, 2017",['Hindi'],2 hrs 13 mins, Comedy Drama,Raja Krishna Menon,"['Saif Ali Khan', 'Padmapriya Janakiraman', 'Chandan Roy Sanyal']",3.5,3.3,,"https://static.toiimg.com/thumb/msid-61362709,width-219,height-317,imgsize-26607/61362709.jpg"
Tu Hai Mera Sunday,"06 Oct, 2017",['Hindi'],2 hrs 7 mins, Comedy Drama,Milind Dhaimade,"['Shahana Goswami', 'Vishal Malhotra', 'barun sobti']",3,3.1,,"https://static.toiimg.com/thumb/msid-61369321,width-219,height-317,imgsize-153825/61369321.jpg"
ISIS: Enemies of Humanity,"29 Sep, 2017","['Hindi', 'English']",2 hrs 15 mins, Action Thriller,"Yuvraj Kumar, Actor","['Rahul Dev', 'Rasheed Naz', 'Moshin Bhatt']",1.5,1.9,,"https://static.toiimg.com/thumb/msid-61283261,width-219,height-317,imgsize-54114/61283261.jpg"
Judwaa 2,"29 Sep, 2017",['Hindi'],2 hrs 30 mins, Comedy Drama Romance,David Dhawan,"['Varun Dhawan', 'Taapsee Pannu', 'Jacqueline Fernandez']",3,3.1,"It’s basically innocent fun meant to pander to the child in you. Lame lyrics, loud gags and leggy lasses never really hurt anyone.","https://static.toiimg.com/thumb/msid-61287652,width-219,height-317,imgsize-187334/61287652.jpg"
CRD,"29 Sep, 2017","['Hindi', 'English']",1 hr 52 mins, Drama Romance,Kranti Kanade,"['Saurabh Saraswat', 'Mrinmayee Godbole', 'Abhay Mahajan']",3.5,3.2,"A student rebels against his tyrannical, fascist theatre teacher and forms his own group of odd-ball actors to compete in a prestigious theatre competition.","https://static.toiimg.com/thumb/msid-61332982,width-219,height-317,imgsize-80352/61332982.jpg"
Haseena Parkar,"22 Sep, 2017",['Hindi'],2 hrs 4 mins, Drama Biography,Apoorva Lakhia,"['Shraddha Kapoor', 'Siddhanth Kapoor', 'Ankur Bhatia']",2,2,"This crime drama fails to offer an insight into Haseena’s life whatsoever as an individual, beyond her infamous identity as Dawood’s sister.","https://static.toiimg.com/thumb/msid-61272150,width-219,height-317,imgsize-135167/61272150.jpg"
Bhoomi,"22 Sep, 2017",['Hindi'],2 hrs 15 mins, Action Drama,Omung Kumar,"['Sanjay Dutt', 'Aditi Rao Hydari', 'shekhar suman']",3,3,​Watch Bhoomi for Dutt. He’s from that era of larger-than-life heroes who get you to applaud even when he turns a killing machine.,"https://static.toiimg.com/thumb/msid-61301333,width-219,height-317,imgsize-180712/61301333.jpg"
The Final Exit,"22 Sep, 2017",['Hindi'],2 hrs 0 mins, Horror Thriller,Dhwanil Mehta,,3,2.8,,"https://static.toiimg.com/thumb/msid-61349113,width-219,height-317,imgsize-145982/61349113.jpg"
JD,"22 Sep, 2017",['Hindi'],2 hrs 7 mins, Drama Thriller,Shailendra Pandey,"['Govind Namdev', 'Vedita Pratap Singh', 'Aman Verma']",1.5,1.8,,"https://static.toiimg.com/thumb/msid-61287330,width-219,height-317,imgsize-61593/61287330.jpg"
Newton,"22 Sep, 2017",['Hindi'],1 hr 45 mins, Comedy Drama,Amit Masurkar,"['Rajkummar Rao', 'Pankaj Tripathi', 'Anjali Patil']",4,4.2,"A brilliantly acted, impeccably written, lovingly shot, humorous, yet poignant film that Indian audiences didn’t ask for, but need.","https://static.toiimg.com/thumb/msid-61273786,width-219,height-317,imgsize-116725/61273786.jpg"
Rabbi,"15 Sep, 2017",['Hindi'],1 hr 29 mins,Drama,Rahat Kazmi,"['Dolly Ahluwalia', 'Bidita Bag', 'Raghubir Yadav']",2.5,2.7,,"https://static.toiimg.com/thumb/msid-61352203,width-219,height-317,imgsize-75439/61352203.jpg"
Patel Ki Punjabi Shaadi,"15 Sep, 2017",['Hindi'],2 hrs 0 mins, Comedy Romance,Sanjay Chhel,"['Rishi Kapoor', 'Paresh Rawal', 'Vir Das']",2,2.4,"A Gujarati grocery store owner who hates Punjabis is horrified to have a typical, loud Punjabi family move in as his next door neighbour.","https://static.toiimg.com/thumb/msid-61293351,width-219,height-317,imgsize-218954/61293351.jpg"
Lucknow Central,"15 Sep, 2017",['Hindi'],2 hrs 27 mins, Drama Action Music,Ranjit Tiwari,"['Farhan Akhtar', 'Diana Penty', 'Inaamulhaq']",3,3.2,,"https://static.toiimg.com/thumb/msid-61292306,width-219,height-317,imgsize-75118/61292306.jpg"
Simran,"15 Sep, 2017",['Hindi'],2 hrs 4 mins, Comedy Drama Crime,Hansal Mehta,"['Kangana Ranaut', 'Sohum Shah', 'Rupinder Nagra']",3,3.3,,"https://static.toiimg.com/thumb/msid-61289858,width-219,height-317,imgsize-144475/61289858.jpg"
BA Pass 2,"15 Sep, 2017",['Hindi'],2 hrs 16 mins,Drama,Shadaab Khan,"['Kritika Sachdeva', 'Indraneil Sengupta', 'Shubhangi Latkar']",2.5,2.5,,"https://static.toiimg.com/thumb/msid-61352408,width-219,height-317,imgsize-44475/61352408.jpg"
The Rally,"08 Sep, 2017",['Hindi'],2 hrs 7 mins, Action Romance Thriller,MirzaActor,"['Arshin Mehta', 'Sachin Chhabra', 'Shezali Sharma']",2,2.3,,"https://static.toiimg.com/thumb/msid-61341266,width-219,height-317,imgsize-156501/61341266.jpg"
Poster Boys,"08 Sep, 2017",['Hindi'],2 hrs 8 mins, Comedy Drama,"Shreyas Talpade, Actor","['Sunny Deol', 'Bobby Deol', 'Sonali Kulkarni']",3.5,3.5,,"https://static.toiimg.com/thumb/msid-61301824,width-219,height-317,imgsize-121736/61301824.jpg"
Daddy,"08 Sep, 2017",['Hindi'],2 hrs 14 mins, Biography Crime Action,Ashim Ahluwalia,"['Arjun Rampal, Producer', 'Aishwarya Rajesh', 'Anand Ingale']",3.5,3.4,"If you like crime drama, Daddy is bound to fuel your imagination. Gawli is a part of India’s crime-history. And this is the closest you will come to `encountering’ him.","https://static.toiimg.com/thumb/msid-61301604,width-219,height-317,imgsize-26347/61301604.jpg"
Sameer,"08 Sep, 2017",['Hindi'],2 hrs 9 mins, Drama Thriller,Dakxin Chhara,"['Mohammed Zeeshan Ayyub', 'Anjali Patil', 'Seema Biswas']",3,3,"Sameer is a proper edge-of-the-seat thriller, albeit with its flaws, but keeps you hooked till the very end with a very strong pay-off.","https://static.toiimg.com/thumb/msid-61343114,width-219,height-317,imgsize-94335/61343114.jpg"
Mr Kabaadi,"08 Sep, 2017",['Hindi'],2 hrs 3 mins, Comedy Drama,Seema Kapoor,"['Vinay Pathak', 'Om Puri', 'Annu Kapoor']",2,2.2,,"https://static.toiimg.com/thumb/msid-61339212,width-219,height-317,imgsize-86511/61339212.jpg"
